Date,OilOpen
2022-01-03,75.69000244140625
2022-01-04,76.0199966430664
2022-01-05,77.18000030517578
2022-01-06,77.23999786376953
2022-01-07,79.62000274658203
2022-01-10,78.87999725341797
2022-01-11,78.41999816894531
2022-01-12,81.37999725341797
2022-01-13,82.81999969482422
2022-01-14,81.7300033569336
2022-01-18,84.31999969482422
2022-01-19,86.61000061035156
2022-01-20,86.2300033569336
2022-01-21,84.56999969482422
2022-01-24,84.91000366210938
2022-01-25,84.1500015258789
2022-01-26,85.26000213623047
2022-01-27,87.1500015258789
2022-01-28,87.5
2022-01-31,87.44999694824219
2022-02-01,88.1500015258789
2022-02-02,88.3499984741211
2022-02-03,87.9800033569336
2022-02-04,90.19000244140625
2022-02-07,91.81999969482422
2022-02-08,91.63999938964844
2022-02-09,89.86000061035156
2022-02-10,90.01000213623047
2022-02-11,90.0
2022-02-14,93.91000366210938
2022-02-15,94.83000183105469
2022-02-16,92.20999908447266
2022-02-17,90.9000015258789
2022-02-18,91.62999725341797
2022-02-22,91.75
2022-02-23,91.73999786376953
2022-02-24,92.5199966430664
2022-02-25,93.31999969482422
2022-02-28,94.98999786376953
2022-03-01,96.08999633789062
2022-03-02,107.12000274658203
2022-03-03,111.33000183105469
2022-03-04,107.95999908447266
2022-03-07,121.33000183105469
2022-03-08,120.66999816894531
2022-03-09,124.66000366210938
2022-03-10,110.41000366210938
2022-03-11,105.98999786376953
2022-03-14,109.41999816894531
2022-03-15,102.27999877929688
2022-03-16,95.2300033569336
2022-03-17,95.33999633789062
2022-03-18,103.62000274658203
2022-03-21,105.12999725341797
2022-03-22,112.9000015258789
2022-03-23,108.8499984741211
2022-03-24,114.47000122070312
2022-03-25,111.75
2022-03-28,112.91999816894531
2022-03-29,103.47000122070312
2022-03-30,105.23999786376953
2022-03-31,107.44999694824219
2022-04-01,101.2300033569336
2022-04-04,98.94999694824219
2022-04-05,103.66000366210938
2022-04-06,101.23999786376953
2022-04-07,97.16000366210938
2022-04-08,97.16999816894531
2022-04-11,98.4000015258789
2022-04-12,95.16999816894531
2022-04-13,100.91000366210938
2022-04-14,104.19999694824219
2022-04-18,107.02999877929688
2022-04-19,107.75
2022-04-20,103.05000305175781
2022-04-21,102.5
2022-04-22,104.06999969482422
2022-04-25,101.37999725341797
2022-04-26,98.63999938964844
2022-04-27,101.76000213623047
2022-04-28,102.11000061035156
2022-04-29,105.16999816894531
2022-05-02,104.0
2022-05-03,105.08000183105469
2022-05-04,103.5
2022-05-05,107.58000183105469
2022-05-06,108.69999694824219
2022-05-09,110.43000030517578
2022-05-10,102.6500015258789
2022-05-11,99.0
2022-05-12,105.62999725341797
2022-05-13,106.6500015258789
2022-05-16,110.9800033569336
2022-05-17,113.87000274658203
2022-05-18,113.66000366210938
2022-05-19,109.08999633789062
2022-05-20,111.44999694824219
2022-05-23,110.55999755859375
2022-05-24,110.41000366210938
2022-05-25,110.38999938964844
2022-05-26,110.69000244140625
2022-05-27,114.19999694824219
2022-05-31,114.95999908447266
2022-06-01,115.4000015258789
2022-06-02,114.80000305175781
2022-06-03,117.55000305175781
2022-06-06,120.81999969482422
2022-06-07,119.0999984741211
2022-06-08,119.79000091552734
2022-06-09,122.43000030517578
2022-06-10,121.45999908447266
2022-06-13,120.19000244140625
2022-06-14,121.08999633789062
2022-06-15,119.06999969482422
2022-06-16,115.9800033569336
2022-06-17,117.08000183105469
2022-06-21,110.58000183105469
2022-06-22,109.54000091552734
2022-06-23,104.41999816894531
2022-06-24,103.98999786376953
2022-06-27,107.22000122070312
2022-06-28,110.18000030517578
2022-06-29,111.86000061035156
2022-06-30,109.69999694824219
2022-07-01,106.01000213623047
2022-07-05,108.80000305175781
2022-07-06,100.36000061035156
2022-07-07,98.22000122070312
2022-07-08,102.22000122070312
2022-07-11,104.79000091552734
2022-07-12,103.45999908447266
2022-07-13,95.88999938964844
2022-07-14,96.56999969482422
2022-07-15,96.38999938964844
2022-07-18,97.2699966430664
2022-07-19,102.0
2022-07-20,103.5999984741211
2022-07-21,99.91000366210938
2022-07-22,96.51000213623047
2022-07-25,95.0999984741211
2022-07-26,96.33000183105469
2022-07-27,95.5999984741211
2022-07-28,98.16999816894531
2022-07-29,97.30000305175781
2022-08-01,98.45999908447266
2022-08-02,93.75
2022-08-03,93.83000183105469
2022-08-04,90.94999694824219
2022-08-05,88.05999755859375
2022-08-08,88.45999908447266
2022-08-09,90.69000244140625
2022-08-10,90.51000213623047
2022-08-11,91.55000305175781
2022-08-12,94.08999633789062
2022-08-15,91.94000244140625
2022-08-16,87.93000030517578
2022-08-17,87.0999984741211
2022-08-18,87.38999938964844
2022-08-19,90.38999938964844
2022-08-22,89.6500015258789
2022-08-23,90.55000305175781
2022-08-24,93.77999877929688
2022-08-25,95.3499984741211
2022-08-26,93.05999755859375
2022-08-29,92.95999908447266
2022-08-30,96.9000015258789
2022-08-31,92.30999755859375
2022-09-01,88.83000183105469
2022-09-02,86.55999755859375
2022-09-06,86.83999633789062
2022-09-07,86.93000030517578
2022-09-08,81.91000366210938
2022-09-09,82.80000305175781
2022-09-12,86.25
2022-09-13,88.08999633789062
2022-09-14,87.94000244140625
2022-09-15,88.91000366210938
2022-09-16,85.16000366210938
2022-09-19,85.20999908447266
2022-09-20,85.61000061035156
2022-09-21,84.25
2022-09-22,83.06999969482422
2022-09-23,83.54000091552734
2022-09-26,79.2300033569336
2022-09-27,76.47000122070312
2022-09-28,78.08000183105469
2022-09-29,81.9000015258789
2022-09-30,81.73999786376953
2022-10-03,81.0199966430664
